,course_title,url,price,num_subscribers,level,Rating,content_duration,published_timestamp
98,JavaScript Rockstar How to create Incredible Useful code,https://www.udemy.com/javascript-projects-from-scratch-step-by-step-guide-to-learn/,75.0,16590.0,All Levels,0.26,2.5,2015-10-29T18:30:46Z
99,Build a Responsive Website with a Modern Flat Design,https://www.udemy.com/build-responsive-website-designs-with-html5-and-css/,0.0,16527.0,All Levels,0.68,2.0,2014-03-26T14:23:06Z
100,Become Exceptional in HTML and HTML5,https://www.udemy.com/become-exceptional-in-html-html5/,20.0,16486.0,Beginner Level,0.24,6.5,2014-03-21T08:58:42Z
101,Angular 2 Crash Course with TypeScript,https://www.udemy.com/angular-2-crash-course/,100.0,16409.0,Intermediate Level,0.71,4.0,2016-06-14T19:26:06Z
102,Django Core | A Reference Guide to Core Django Concepts,https://www.udemy.com/django-core/,195.0,16282.0,Beginner Level,0.35,18.5,2016-10-29T19:28:45Z
103,1 Hour HTML,https://www.udemy.com/1-hour-html/,200.0,16212.0,Beginner Level,0.34,1.0,2013-07-09T03:16:26Z
104,The Complete PHP MySQL Professional Course with 5 Projects,https://www.udemy.com/the-complete-php-mysql-professional-course/,200.0,16158.0,All Levels,0.71,19.5,2017-06-07T05:58:36Z
105,Learn Ruby on Rails: Stripe Payment Processing,https://www.udemy.com/learn-ruby-on-rails-stripe-payment-processing/,40.0,15724.0,Beginner Level,0.44,1.5,2016-11-02T22:09:47Z
106,Learn how to quickly build websites using Wordpress,https://www.udemy.com/learn-how-to-quickly-build-websites-using-wordpress/,0.0,15715.0,All Levels,0.12,3.5,2014-12-18T12:50:07Z
107,Introduction to CSS Development,https://www.udemy.com/refactoru-intro-to-css/,0.0,15493.0,All Levels,0.56,2.0,2014-08-18T23:33:20Z
108,Learn HTML & CSS: How To Start Your Web Development Career,https://www.udemy.com/how-i-landed-a-web-development-job-earned-5k-freelancing/,0.0,15462.0,Beginner Level,0.88,4.5,2015-09-29T19:46:45Z
109,Learn JavaScript for beginners,https://www.udemy.com/learn-javascript-course/,200.0,15276.0,All Levels,0.58,1.5,2017-03-16T20:57:12Z
110,Servlets and JSPs Tutorial: Learn Web Applications With Java,https://www.udemy.com/javawebtut/,35.0,15187.0,All Levels,0.12,10.0,2012-09-10T23:52:58Z
111,Learn to Build Websites using Twitter Bootstrap,https://www.udemy.com/learn-to-build-websites-using-twitter-bootstrap/,0.0,15134.0,Beginner Level,0.8,2.5,2014-04-14T07:51:24Z
112,JavaScript Tricks how to create code projects from scratch,https://www.udemy.com/learn-javascript-code-create-projects-from-scratch/,75.0,15106.0,Beginner Level,0.47,1.5,2015-10-29T23:39:45Z
113,ASP.Net MVC Quick Start,https://www.udemy.com/aspnet-mvc-quick-start/,0.0,15092.0,All Levels,0.73,5.5,2016-08-23T15:59:10Z
114,HTML 5: How I made websites in HTML5,https://www.udemy.com/html5-certification/,135.0,15064.0,All Levels,0.5,1.5,2014-10-23T19:43:16Z
115,Rapid Website Design with Bootstrap,https://www.udemy.com/responsive-website-design/,200.0,14842.0,All Levels,0.88,1.0,2016-12-02T00:45:36Z
116,Learn  Bootstrap Development By Building 10 Projects,https://www.udemy.com/learn-bootstrap-development-by-building-10-projects/,60.0,14813.0,Beginner Level,0.15,13.5,2015-02-23T12:04:53Z
117,Codeigniter: How to use Codeigniter that drives knowledge,https://www.udemy.com/codeigniter/,150.0,14606.0,Intermediate Level,0.48,3.0,2014-07-29T21:39:04Z
118,Creating an MP3 Player with HTML5,https://www.udemy.com/creating-an-mp3-player-with-html5/,20.0,14551.0,Beginner Level,0.15,1.5,2013-01-31T13:44:52Z
119,Get started Creating Websites Everything you need provided,https://www.udemy.com/get-started-creating-websites-everything-you-need-provided/,100.0,14260.0,Beginner Level,0.25,3.0,2015-09-25T18:13:40Z
120,Benefits of Thinking Mobile First Future of Website Design,https://www.udemy.com/thinking-mobile-websites-smart-design-tutorial/,75.0,14254.0,All Levels,0.3,1.5,2015-05-13T22:13:53Z
